activity_name,geography,reference_product_name,kmeans_cluster,agglomerative_cluster,dbscan_cluster
electricity voltage transformation from high to medium voltage,YE,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ZA,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ZM,"electricity, medium voltage",0,1,0
electricity voltage transformation from high to medium voltage,ZW,"electricity, medium voltage",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry",CA,"electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry",CN,"electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, Africa","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, Asia, without China and GCC","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, EU27 & EFTA","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, Gulf Cooperation Council","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, Russia & RER w/o EU27 & EFTA","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry","IAI Area, South America","electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry",RoW,"electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, aluminium industry",UN-OCEANIA,"electricity, medium voltage, aluminium industry",0,1,0
"electricity voltage transformation from high to medium voltage, cobalt industry",GLO,"electricity, medium voltage, cobalt industry",0,1,0
"electricity voltage transformation from high to medium voltage, renewable energy products",CH,"electricity, medium voltage, renewable energy products",0,1,0
electricity voltage transformation from medium to low voltage,AE,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AL,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AM,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AO,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AR,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AT,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AU,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,AZ,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BA,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BD,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BE,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BG,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BH,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BJ,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BN,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BO,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BR-North-eastern grid,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BR-Northern grid,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BR-South-eastern/Mid-western grid,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BR-Southern grid,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BW,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,BY,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-AB,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-BC,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-MB,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-NB,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-NF,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-NS,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-NT,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-NU,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-ON,"electricity, low voltage",0,1,0
electricity voltage transformation from medium to low voltage,CA-PE,"electricity, low voltage",0,1,0
